Network,School ID,School,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12,Total
Charter,400059,North Lawndale College Prep Charter - Collins,0,0,0,0,0,0,0,0,0,0,1,119,110,91,89,410
Charter,400062,Perspectives Charter - Calumet Technology,0,0,0,0,0,0,0,0,0,0,1,113,112,109,114,449
Charter,400066,Perspectives Charter - IIT Math & Science Academy,0,0,0,0,0,0,0,0,26,59,91,115,122,80,79,572
Charter,400064,Perspectives Charter - Rodney D Joslin,0,0,0,0,0,0,0,0,46,58,62,54,53,61,50,384
Charter,400061,Perspectives Charter Leadership Academy HS,0,0,0,0,0,0,0,0,40,75,109,111,96,97,113,641
Charter,400069,Polaris Charter Academy Elementary School,0,0,42,52,49,50,52,45,43,48,45,0,0,0,0,426
Charter,400109,Prologue-Joshua Johnston Charter School,0,0,0,0,0,0,0,0,0,0,0,5,28,77,140,250
Charter,400071,Providence Englewood Charter - Bunche,0,0,83,75,67,67,51,42,47,49,31,0,0,0,0,512
Charter,400096,Rowe Elementary School,0,0,108,113,112,111,112,85,26,25,0,0,0,0,0,692
Charter,400116,The Montessori School of Englewood Charter,30,30,45,39,54,33,27,0,0,0,0,0,0,0,0,258
Charter,400112,UNO 51st and Homan Charter Elementary School,0,0,64,64,64,64,64,64,64,64,64,0,0,0,0,576
Charter,400081,UNO Charter - Bartolome de Las Casas,0,0,32,32,32,32,32,32,32,32,31,0,0,0,0,287
Charter,400082,UNO Charter - Carlos Fuentes,0,0,63,64,64,63,65,66,61,65,63,0,0,0,0,574
Charter,400120,UNO Charter - Near West Elementary,0,0,64,64,64,64,64,64,64,64,64,0,0,0,0,576
Charter,400083,UNO Charter - Octavio Paz Campus,0,0,58,54,32,32,61,48,32,49,47,0,0,0,0,413
Charter,400121,UNO Charter - Rogers Park ES,0,0,64,63,64,63,65,65,62,62,64,91,66,0,0,729
Charter,400084,UNO Charter - Rufino Tamayo,0,0,32,32,32,32,32,33,32,32,32,0,0,0,0,289
Charter,400101,UNO Charter - Sandra Cisneros,0,0,64,63,64,64,62,64,64,52,55,0,0,0,0,552
Charter,400153,UNO Charter 15 ES,0,0,63,64,65,64,64,65,59,42,33,0,0,0,0,519
Charter,400114,UNO Charter School - Esmeralda Santiago,0,0,29,30,31,32,32,31,31,31,29,0,0,0,0,276
Charter,400085,UNO Charter School - Major Hector P.Garcia MD Campus,0,0,0,0,0,0,0,0,0,0,0,183,167,156,160,666
Charter,400089,UNO Charter School - Officer Donald J. Marquez,0,0,64,64,64,62,64,62,62,64,63,0,0,0,0,569
Charter,400080,UNO Charter School - PFC Omar E.Torres Campus,0,0,64,64,64,64,63,64,96,95,64,0,0,0,0,638
Charter,400079,UNO Charter School - SPC Daniel Zizumbo Campus,0,0,64,64,64,64,64,64,94,95,64,0,0,0,0,637
Charter,400149,UNO Soccer Academy High School,0,0,0,0,0,0,0,0,0,119,120,214,184,0,0,637
Charter,400078,University of Chicago Charter - Carter G Woodson,0,0,0,0,0,0,0,0,88,125,139,0,0,0,0,352
Charter,400075,University of Chicago Charter - Donoghue,0,59,89,88,88,87,79,76,0,0,0,0,0,0,0,566
Charter,400076,University of Chicago Charter - NKO,0,20,54,54,57,52,52,53,0,0,0,0,0,0,0,342
Charter,400077,University of Chicago Charter - Woodlawn,0,0,0,0,0,0,0,0,70,76,81,149,124,97,53,650
