School Year,School ID,School Name,Test,# Students,Average Composite Score,Average EBRW Score,Average Math Score,% Meeting College Readiness Benchmark,% Partially Met State EBRW Standards,% Approached State EBRW Standards,% Met State EBRW Standards,% Exceeded State EBRW Standards,% Met or Exceeded State EBRW Standards,% Partially Met State Math Standards,% Approached State Math Standards,% Met State Math Standards,% Exceeded State Math Standards,% Met or Exceeded State Math Standards
2016-2017,400131,YCCS - CAMPOS,SAT,30,778,392,386,0,70,30,0,0,0,90,10,0,0,0
2016-2017,400131,YCCS - CAMPOS,Combined,30, , , ,0, , , , , , , , , , 
2016-2017,400133,YCCS - INNOVATIONS,SAT,10,755,388,367,0,90,10,0,0,0,90,10,0,0,0
2016-2017,400133,YCCS - INNOVATIONS,Combined,10, , , ,0, , , , , , , , , , 
2016-2017,400134,YCCS - ADDAMS,SAT,14,794,401,392,0,78.6,21.4,0,0,0,100,0,0,0,0
2016-2017,400134,YCCS - ADDAMS,Combined,14, , , ,0, , , , , , , , , , 
2016-2017,400135,YCCS - LATINO YOUTH,SAT,61,802,413,389,1.6,65.6,32.8,1.6,0,1.6,77,23,0,0,0
2016-2017,400135,YCCS - LATINO YOUTH,Combined,61, , , ,1.6, , , , , , , , , , 
2016-2017,400136,YCCS - OLIVE HARVEY,SAT,15,787,401,386,0,73.3,26.7,0,0,0,93.3,6.7,0,0,0
2016-2017,400136,YCCS - OLIVE HARVEY,Combined,15, , , ,0, , , , , , , , , , 
2016-2017,400137,LITTLE BLACK PEARL HS,PSAT 10,28,802,403,400,10.7, , , , , , , , , , 
2016-2017,400137,LITTLE BLACK PEARL HS,SAT,35,831,433,399,2.9,51.4,48.6,0,0,0,77.1,22.9,0,0,0
2016-2017,400137,LITTLE BLACK PEARL HS,Combined,63, , , ,6.3, , , , , , , , , , 
2016-2017,400139,YCCS - SULLIVAN,SAT,11,751,386,365,0,81.8,18.2,0,0,0,100,0,0,0,0
2016-2017,400139,YCCS - SULLIVAN,Combined,11, , , ,0, , , , , , , , , , 
2016-2017,400141,YCCS - TRUMAN,SAT,18,838,424,413,11.1,72.2,16.7,5.6,5.6,11.1,83.3,11.1,5.6,0,5.6
2016-2017,400141,YCCS - TRUMAN,Combined,18, , , ,11.1, , , , , , , , , , 
2016-2017,400143,YCCS - WEST TOWN,SAT,13,804,409,395,0,76.9,23.1,0,0,0,76.9,23.1,0,0,0
2016-2017,400143,YCCS - WEST TOWN,Combined,13, , , ,0, , , , , , , , , , 
2016-2017,400144,YCCS - WESTSIDE HOLISTIC,SAT,15,813,409,405,0,60,40,0,0,0,86.7,13.3,0,0,0
2016-2017,400144,YCCS - WESTSIDE HOLISTIC,Combined,15, , , ,0, , , , , , , , , , 
2016-2017,400145,YCCS - YOUTH CONNECTION,SAT,10,788,406,382,0,80,20,0,0,0,90,10,0,0,0
2016-2017,400145,YCCS - YOUTH CONNECTION,Combined,10, , , ,0, , , , , , , , , , 
2016-2017,400147,CAMELOT - EXCEL HS,PSAT 9,9, , , , , , , , , , , , , , 
2016-2017,400147,CAMELOT - EXCEL HS,PSAT 10,23,762,372,390,0, , , , , , , , , , 
2016-2017,400147,CAMELOT - EXCEL HS,SAT,38,785,393,392,0,89.5,10.5,0,0,0,89.5,10.5,0,0,0
2016-2017,400147,CAMELOT - EXCEL HS,Combined,70, , , ,0, , , , , , , , , , 
2016-2017,400148,INSTITUTO - LOZANO HS,SAT,14,836,412,424,14.3,64.3,21.4,14.3,0,14.3,64.3,28.6,7.1,0,7.1
2016-2017,400148,INSTITUTO - LOZANO HS,Combined,14, , , ,14.3, , , , , , , , , , 
2016-2017,400149,ACERO - SOTO HS,PSAT 9,142,777,381,395,23.9, , , , , , , , , , 
2016-2017,400149,ACERO - SOTO HS,PSAT 10,151,839,422,417,22.5, , , , , , , , , , 
2016-2017,400149,ACERO - SOTO HS,SAT,113,915,465,450,23,30.1,54,15,0.9,15.9,45.1,46,8.8,0,8.8
2016-2017,400149,ACERO - SOTO HS,Combined,406, , , ,23.2, , , , , , , , , , 
2016-2017,400150,YCCS - CHATHAM,SAT,11,805,405,400,0,81.8,18.2,0,0,0,81.8,18.2,0,0,0
2016-2017,400150,YCCS - CHATHAM,Combined,11, , , ,0, , , , , , , , , , 
2016-2017,400156,NOBLE - BUTLER HS,PSAT 9,172,803,389,411,33.7, , , , , , , , , , 
2016-2017,400156,NOBLE - BUTLER HS,PSAT 10,139,852,428,424,29.5, , , , , , , , , , 
2016-2017,400156,NOBLE - BUTLER HS,SAT,115,915,465,450,25.2,33,48.7,16.5,1.7,18.3,48.7,38.3,13,0,13
2016-2017,400156,NOBLE - BUTLER HS,Combined,426, , , ,30, , , , , , , , , , 
2016-2017,400157,NOBLE - BAKER HS,PSAT 9,75,759,369,388,17.3, , , , , , , , , , 
2016-2017,400157,NOBLE - BAKER HS,PSAT 10,108,884,448,435,41.7, , , , , , , , , , 
2016-2017,400157,NOBLE - BAKER HS,SAT,92,938,477,461,34.8,30.4,45.7,17.4,6.5,23.9,43.5,38,16.3,2.2,18.5
2016-2017,400157,NOBLE - BAKER HS,Combined,275, , , ,32.7, , , , , , , , , , 
2016-2017,400162,INTRINSIC HS,PSAT 9,184,838,397,441,40.2, , , , , , , , , , 
2016-2017,400162,INTRINSIC HS,PSAT 10,158,890,444,446,41.1, , , , , , , , , , 
2016-2017,400162,INTRINSIC HS,SAT,159,976,496,480,42.8,18.9,45.3,34,1.9,35.8,30.2,50.9,18.2,0.6,18.9
2016-2017,400162,INTRINSIC HS,Combined,501, , , ,41.3, , , , , , , , , , 
2016-2017,400164,INSTITUTO - LOZANO HS,SAT,1, , , , , , , , , , , , , , 
2016-2017,400164,INSTITUTO - LOZANO HS,Combined,1, , , , , , , , , , , , , , 
2016-2017,400167,HORIZON - SOUTHWEST,PSAT 9,52,738,368,368,17.3, , , , , , , , , , 
2016-2017,400167,HORIZON - SOUTHWEST,PSAT 10,45,822,417,404,22.2, , , , , , , , , , 
2016-2017,400167,HORIZON - SOUTHWEST,Combined,97, , , ,19.6, , , , , , , , , , 
2016-2017,400169,NOBLE - ITW SPEER HS,PSAT 9,175,851,413,437,45.7, , , , , , , , , , 
2016-2017,400169,NOBLE - ITW SPEER HS,PSAT 10,368,917,456,461,54.6, , , , , , , , , , 
2016-2017,400169,NOBLE - ITW SPEER HS,SAT,219,984,487,497,44.3,17.4,55.3,26,1.4,27.4,26.5,41.6,29.7,2.3,32
2016-2017,400169,NOBLE - ITW SPEER HS,Combined,762, , , ,49.6, , , , , , , , , , 
2016-2017,400170,NOBLE - ACADEMY HS,PSAT 9,122,855,418,437,54.9, , , , , , , , , , 
2016-2017,400170,NOBLE - ACADEMY HS,PSAT 10,87,966,488,478,66.7, , , , , , , , , , 
2016-2017,400170,NOBLE - ACADEMY HS,SAT,121,1033,525,507,57.9,9.1,44.6,36.4,9.9,46.3,24.8,33.9,38,3.3,41.3
2016-2017,400170,NOBLE - ACADEMY HS,Combined,330, , , ,59.1, , , , , , , , , , 
2016-2017,400171,FOUNDATIONS,PSAT 9,43,740,364,376,18.6, , , , , , , , , , 
2016-2017,400171,FOUNDATIONS,Combined,43, , , ,18.6, , , , , , , , , , 
2016-2017,400172,ASPIRA - BUSINESS & FINANCE HS,PSAT 9,164,757,372,384,17.7, , , , , , , , , , 
2016-2017,400172,ASPIRA - BUSINESS & FINANCE HS,PSAT 10,153,810,400,410,15, , , , , , , , , , 
2016-2017,400172,ASPIRA - BUSINESS & FINANCE HS,Combined,317, , , ,16.4, , , , , , , , , , 
2016-2017,400173,PATHWAYS - BRIGHTON PARK HS,SAT,90,827,427,400,8.9,52.2,40,6.7,1.1,7.8,76.7,20,3.3,0,3.3
2016-2017,400173,PATHWAYS - BRIGHTON PARK HS,Combined,90, , , ,8.9, , , , , , , , , , 
2016-2017,400175,CAMELOT - EXCEL SOUTHSHORE HS,PSAT 9,18,693,326,355,11.1, , , , , , , , , , 
2016-2017,400175,CAMELOT - EXCEL SOUTHSHORE HS,PSAT 10,17,788,405,382,11.8, , , , , , , , , , 
2016-2017,400175,CAMELOT - EXCEL SOUTHSHORE HS,SAT,27,789,413,376,7.4,70.4,22.2,7.4,0,7.4,88.9,7.4,3.7,0,3.7
2016-2017,400175,CAMELOT - EXCEL SOUTHSHORE HS,Combined,62, , , ,9.7, , , , , , , , , , 
2016-2017,400176,CAMELOT - EXCEL SOUTHWEST HS,SAT,34,753,387,366,0,73.5,26.5,0,0,0,88.2,11.8,0,0,0
2016-2017,400176,CAMELOT - EXCEL SOUTHWEST HS,Combined,34, , , ,0, , , , , , , , , , 
2016-2017,400179,NOBLE - MANSUETO HS,PSAT 9,165,895,433,461,55.8, , , , , , , , , , 
2016-2017,400179,NOBLE - MANSUETO HS,Combined,165, , , ,55.8, , , , , , , , , , 
2016-2017,609674,CHICAGO VOCATIONAL HS,PSAT 9,172,716,349,367,8.1, , , , , , , , , , 
2016-2017,609674,CHICAGO VOCATIONAL HS,PSAT 10,169,798,400,397,11.8, , , , , , , , , , 
2016-2017,609674,CHICAGO VOCATIONAL HS,SAT,184,834,427,407,7.1,55.4,40.8,3.8,0,3.8,73.9,23.9,2.2,0,2.2
2016-2017,609674,CHICAGO VOCATIONAL HS,Combined,525, , , ,9, , , , , , , , , , 
2016-2017,609676,DUNBAR HS,PSAT 9,90,707,348,359,7.8, , , , , , , , , , 
2016-2017,609676,DUNBAR HS,PSAT 10,101,764,379,384,5, , , , , , , , , , 
2016-2017,609676,DUNBAR HS,SAT,114,804,411,393,0.9,60.5,38.6,0.9,0,0.9,79.8,20.2,0,0,0
2016-2017,609676,DUNBAR HS,Combined,305, , , ,4.3, , , , , , , , , , 
2016-2017,609678,JONES HS,PSAT 9,414,1134,566,568,99.5, , , , , , , , , , 
2016-2017,609678,JONES HS,PSAT 10,420,1164,587,577,98.8, , , , , , , , , , 
2016-2017,609678,JONES HS,SAT,464,1247,634,614,94.8,0.2,10.6,35.8,53.4,89.2,2.2,14,55.8,28,83.8
2016-2017,609678,JONES HS,Combined,1298, , , ,97.6, , , , , , , , , , 
2016-2017,609679,PROSSER HS,PSAT 9,352,859,426,433,51.1, , , , , , , , , , 
2016-2017,609679,PROSSER HS,PSAT 10,336,883,440,444,41.4, , , , , , , , , , 
2016-2017,609679,PROSSER HS,SAT,310,924,469,455,23.5,24.8,61,12.9,1.3,14.2,42.6,47.4,9.7,0.3,10
2016-2017,609679,PROSSER HS,Combined,998, , , ,39.3, , , , , , , , , , 
2016-2017,609680,PAYTON HS,PSAT 9,289,1188,592,596,100, , , , , , , , , , 
2016-2017,609680,PAYTON HS,PSAT 10,218,1258,635,622,99.5, , , , , , , , , , 
2016-2017,609680,PAYTON HS,SAT,210,1374,688,686,98.1,1,1,14.3,83.8,98.1,1.4,1.4,35.7,61.4,97.1
2016-2017,609680,PAYTON HS,Combined,717, , , ,99.3, , , , , , , , , , 
2016-2017,609682,RICHARDS HS,PSAT 9,50,692,338,354,4, , , , , , , , , , 
2016-2017,609682,RICHARDS HS,PSAT 10,54,760,367,393,7.4, , , , , , , , , , 
2016-2017,609682,RICHARDS HS,SAT,52,764,391,373,1.9,80.8,19.2,0,0,0,90.4,9.6,0,0,0
2016-2017,609682,RICHARDS HS,Combined,156, , , ,4.5, , , , , , , , , , 
2016-2017,609691,NORTH-GRAND HS,PSAT 9,218,766,378,388,22.5, , , , , , , , , , 
2016-2017,609691,NORTH-GRAND HS,PSAT 10,255,809,400,409,18, , , , , , , , , , 
2016-2017,609691,NORTH-GRAND HS,SAT,222,868,443,426,13.5,43.2,46.8,9.5,0.5,9.9,63.5,29.7,6.8,0,6.8
2016-2017,609691,NORTH-GRAND HS,Combined,695, , , ,18, , , , , , , , , , 
2016-2017,609692,SIMEON HS,PSAT 9,305,786,388,398,19, , , , , , , , , , 
2016-2017,609692,SIMEON HS,PSAT 10,268,832,427,405,22, , , , , , , , , , 
2016-2017,609692,SIMEON HS,SAT,304,889,460,430,14.5,30.6,57.6,10.9,1,11.8,63.5,30.3,6.3,0,6.3
2016-2017,609692,SIMEON HS,Combined,877, , , ,18.4, , , , , , , , , , 
2016-2017,609693,WESTINGHOUSE HS,PSAT 9,294,944,459,485,79.6, , , , , , , , , , 
2016-2017,609693,WESTINGHOUSE HS,PSAT 10,271,985,488,497,74.5, , , , , , , , , , 
2016-2017,609693,WESTINGHOUSE HS,SAT,266,1046,528,518,62,4.5,51.1,39.1,5.3,44.4,11.3,50,36.1,2.6,38.7
2016-2017,609693,WESTINGHOUSE HS,Combined,831, , , ,72.3, , , , , , , , , , 
2016-2017,609694,HANCOCK HS,PSAT 9,220,983,477,506,89.1, , , , , , , , , , 
2016-2017,609694,HANCOCK HS,PSAT 10,211,1006,498,508,85.8, , , , , , , , , , 
2016-2017,609694,HANCOCK HS,SAT,225,910,465,445,23.1,32.4,51.1,15.6,0.9,16.4,48.4,39.1,12.4,0,12.4
2016-2017,609694,HANCOCK HS,Combined,656, , , ,65.4, , , , , , , , , , 
2016-2017,609695,AMUNDSEN HS,PSAT 9,306,870,431,439,53.6, , , , , , , , , , 
2016-2017,609695,AMUNDSEN HS,PSAT 10,317,916,456,460,52.1, , , , , , , , , , 
2016-2017,609695,AMUNDSEN HS,SAT,260,931,468,463,30,28.1,55.8,15.4,0.8,16.2,39.6,43.5,16.5,0.4,16.9
2016-2017,609695,AMUNDSEN HS,Combined,883, , , ,46.1, , , , , , , , , , 
2016-2017,609698,BOGAN HS,PSAT 9,170,737,360,377,14.1, , , , , , , , , , 
2016-2017,609698,BOGAN HS,PSAT 10,155,800,395,405,15.5, , , , , , , , , , 
2016-2017,609698,BOGAN HS,SAT,182,823,418,405,7.7,64.3,31.3,4.4,0,4.4,73.1,24.7,2.2,0,2.2
2016-2017,609698,BOGAN HS,Combined,507, , , ,12.2, , , , , , , , , , 
2016-2017,609704,FARRAGUT HS,PSAT 9,159,766,375,390,19.5, , , , , , , , , , 
2016-2017,609704,FARRAGUT HS,PSAT 10,190,814,405,409,16.3, , , , , , , , , , 
2016-2017,609704,FARRAGUT HS,SAT,195,845,423,422,11.3,55.9,39.5,4.6,0,4.6,66.2,30.3,3.6,0,3.6
2016-2017,609704,FARRAGUT HS,Combined,544, , , ,15.4, , , , , , , , , , 
2016-2017,609705,FENGER HS,PSAT 9,57,702,346,357,3.5, , , , , , , , , , 
2016-2017,609705,FENGER HS,PSAT 10,52,782,389,393,7.7, , , , , , , , , , 
2016-2017,609705,FENGER HS,SAT,59,831,424,408,6.8,55.9,37.3,5.1,1.7,6.8,76.3,16.9,6.8,0,6.8
2016-2017,609705,FENGER HS,Combined,168, , , ,6, , , , , , , , , , 
2016-2017,609707,ROBESON HS,PSAT 9,32,663,326,336,0, , , , , , , , , , 
2016-2017,609707,ROBESON HS,PSAT 10,35,761,373,388,8.6, , , , , , , , , , 
2016-2017,609707,ROBESON HS,SAT,37,743,382,361,0,86.5,13.5,0,0,0,94.6,5.4,0,0,0
2016-2017,609707,ROBESON HS,Combined,104, , , ,2.9, , , , , , , , , , 
2016-2017,609708,FOREMAN HS,PSAT 9,182,713,344,368,7.1, , , , , , , , , , 
2016-2017,609708,FOREMAN HS,PSAT 10,184,790,384,406,14.1, , , , , , , , , , 
2016-2017,609708,FOREMAN HS,SAT,186,811,403,408,7,71,26.3,2.2,0.5,2.7,72,23.7,3.8,0.5,4.3
2016-2017,609708,FOREMAN HS,Combined,552, , , ,9.4, , , , , , , , , , 
2016-2017,609709,GAGE PARK HS,PSAT 9,78,729,361,367,12.8, , , , , , , , , , 
2016-2017,609709,GAGE PARK HS,PSAT 10,60,774,384,384,13.3, , , , , , , , , , 
2016-2017,609709,GAGE PARK HS,SAT,72,814,412,403,5.6,62.5,36.1,1.4,0,1.4,81.9,15.3,2.8,0,2.8
2016-2017,609709,GAGE PARK HS,Combined,210, , , ,10.5, , , , , , , , , , 
2016-2017,609710,HARLAN HS,PSAT 9,86,704,344,360,7, , , , , , , , , , 
2016-2017,609710,HARLAN HS,PSAT 10,87,767,376,391,8, , , , , , , , , , 
2016-2017,609710,HARLAN HS,SAT,93,825,426,399,8.6,59.1,32.3,6.5,2.2,8.6,80.6,17.2,2.2,0,2.2
2016-2017,609710,HARLAN HS,Combined,266, , , ,7.9, , , , , , , , , , 
2016-2017,609711,HARPER HS,PSAT 9,39,705,347,357,2.6, , , , , , , , , , 
2016-2017,609711,HARPER HS,PSAT 10,40,756,372,384,2.5, , , , , , , , , , 
2016-2017,609711,HARPER HS,SAT,34,781,405,376,5.9,67.6,29.4,2.9,0,2.9,88.2,8.8,2.9,0,2.9
2016-2017,609711,HARPER HS,Combined,113, , , ,3.5, , , , , , , , , , 
2016-2017,609712,HIRSCH HS,PSAT 9,30,712,340,372,6.7, , , , , , , , , , 
2016-2017,609712,HIRSCH HS,PSAT 10,32,764,381,383,6.3, , , , , , , , , , 
2016-2017,609712,HIRSCH HS,SAT,37,779,405,374,0,67.6,32.4,0,0,0,97.3,2.7,0,0,0
2016-2017,609712,HIRSCH HS,Combined,99, , , ,4, , , , , , , , , , 
2016-2017,609713,HYDE PARK HS,PSAT 9,138,732,362,369,8, , , , , , , , , , 
2016-2017,609713,HYDE PARK HS,PSAT 10,167,767,378,389,7.2, , , , , , , , , , 
2016-2017,609713,HYDE PARK HS,SAT,193,842,429,413,8.3,54.4,40.4,5.2,0,5.2,68.9,27.5,3.6,0,3.6
2016-2017,609713,HYDE PARK HS,Combined,498, , , ,7.8, , , , , , , , , , 
2016-2017,609715,KELLY HS,PSAT 9,454,781,376,405,26, , , , , , , , , , 
2016-2017,609715,KELLY HS,PSAT 10,565,824,403,420,24.4, , , , , , , , , , 
2016-2017,609715,KELLY HS,SAT,375,895,443,453,21.3,44.5,42.9,12,0.5,12.5,48.5,35.2,15.2,1.1,16.3
2016-2017,609715,KELLY HS,Combined,1394, , , ,24.1, , , , , , , , , , 
2016-2017,609716,KELVYN PARK HS,PSAT 9,68,724,354,371,8.8, , , , , , , , , , 
2016-2017,609716,KELVYN PARK HS,PSAT 10,71,789,385,404,14.1, , , , , , , , , , 
2016-2017,609716,KELVYN PARK HS,SAT,101,835,423,412,6.9,60.4,31.7,7.9,0,7.9,70.3,24.8,5,0,5
2016-2017,609716,KELVYN PARK HS,Combined,240, , , ,9.6, , , , , , , , , , 
2016-2017,609718,KENNEDY HS,PSAT 9,391,860,430,430,48.6, , , , , , , , , , 
2016-2017,609718,KENNEDY HS,PSAT 10,389,908,460,448,49.9, , , , , , , , , , 
2016-2017,609718,KENNEDY HS,SAT,384,960,488,473,37.2,26,45.8,25,3.1,28.1,34.9,44.3,20.3,0.5,20.8
2016-2017,609718,KENNEDY HS,Combined,1164, , , ,45.3, , , , , , , , , , 
2016-2017,609719,LAKE VIEW HS,PSAT 9,337,842,412,430,44.8, , , , , , , , , , 
2016-2017,609719,LAKE VIEW HS,PSAT 10,299,862,429,433,34.8, , , , , , , , , , 
2016-2017,609719,LAKE VIEW HS,SAT,316,946,473,472,31,25.3,54.7,18.4,1.6,19.9,36.4,44.9,17.7,0.9,18.7
2016-2017,609719,LAKE VIEW HS,Combined,952, , , ,37.1, , , , , , , , , , 
2016-2017,609720,LANE TECH HS,PSAT 9,945,1081,538,542,97.4, , , , , , , , , , 
2016-2017,609720,LANE TECH HS,PSAT 10,1059,1134,569,565,97.6, , , , , , , , , , 
2016-2017,609720,LANE TECH HS,SAT,930,1223,608,615,96.7,0,12.5,53,34.5,87.5,0.8,11.3,65.1,22.9,88
2016-2017,609720,LANE TECH HS,Combined,2934, , , ,97.2, , , , , , , , , , 
2016-2017,609722,MANLEY HS,PSAT 9,26,656,319,337,0, , , , , , , , , , 
2016-2017,609722,MANLEY HS,PSAT 10,34,741,361,377,0, , , , , , , , , , 
2016-2017,609722,MANLEY HS,SAT,39,799,402,397,2.6,74.4,23.1,2.6,0,2.6,79.5,17.9,2.6,0,2.6
2016-2017,609722,MANLEY HS,Combined,99, , , ,1, , , , , , , , , , 
2016-2017,609723,MARSHALL HS,PSAT 9,65,723,362,361,7.7, , , , , , , , , , 
2016-2017,609723,MARSHALL HS,PSAT 10,80,746,363,380,3.8, , , , , , , , , , 
2016-2017,609723,MARSHALL HS,SAT,90,811,414,397,4.4,65.6,30,4.4,0,4.4,77.8,21.1,1.1,0,1.1
2016-2017,609723,MARSHALL HS,Combined,235, , , ,5.1, , , , , , , , , , 
2016-2017,609724,MATHER HS,PSAT 9,354,803,396,406,31.4, , , , , , , , , , 
2016-2017,609724,MATHER HS,PSAT 10,379,862,423,439,36.9, , , , , , , , , , 
2016-2017,609724,MATHER HS,SAT,349,917,452,465,29.5,39.3,45.8,12.9,2,14.9,41.5,38.1,19.8,0.6,20.3
2016-2017,609724,MATHER HS,Combined,1082, , , ,32.7, , , , , , , , , , 
2016-2017,609725,MORGAN PARK HS,PSAT 9,339,782,387,395,25.1, , , , , , , , , , 
2016-2017,609725,MORGAN PARK HS,PSAT 10,288,844,426,418,26.7, , , , , , , , , , 
2016-2017,609725,MORGAN PARK HS,SAT,297,921,465,456,21.2,28.6,57.2,12.8,1.3,14.1,44.8,45.1,9.4,0.7,10.1
2016-2017,609725,MORGAN PARK HS,Combined,924, , , ,24.4, , , , , , , , , , 
2016-2017,609726,BROOKS HS,PSAT 9,215,989,495,494,92.1, , , , , , , , , , 
2016-2017,609726,BROOKS HS,PSAT 10,190,1008,516,492,88.9, , , , , , , , , , 
2016-2017,609726,BROOKS HS,SAT,181,1133,585,548,91.2,1.7,20.4,55.2,22.7,77.9,2.2,33.1,61.9,2.8,64.6
2016-2017,609726,BROOKS HS,Combined,586, , , ,90.8, , , , , , , , , , 
2016-2017,609727,PHILLIPS HS,PSAT 9,154,749,362,387,14.9, , , , , , , , , , 
2016-2017,609727,PHILLIPS HS,PSAT 10,122,798,389,407,13.9, , , , , , , , , , 
2016-2017,609727,PHILLIPS HS,SAT,138,863,445,419,8.7,37.7,52.9,9.4,0,9.4,68.1,29.7,2.2,0,2.2
2016-2017,609727,PHILLIPS HS,Combined,414, , , ,12.6, , , , , , , , , , 
2016-2017,609728,ROOSEVELT HS,PSAT 9,290,755,368,387,18.3, , , , , , , , , , 
2016-2017,609728,ROOSEVELT HS,PSAT 10,191,812,401,411,17.3, , , , , , , , , , 
2016-2017,609728,ROOSEVELT HS,SAT,243,864,434,429,16,52.3,38.7,8.6,0.4,9.1,60.9,28.4,10.7,0,10.7
2016-2017,609728,ROOSEVELT HS,Combined,724, , , ,17.3, , , , , , , , , , 
2016-2017,609729,SCHURZ HS,PSAT 9,403,760,370,390,19.4, , , , , , , , , , 
2016-2017,609729,SCHURZ HS,PSAT 10,338,827,408,419,21.9, , , , , , , , , , 
2016-2017,609729,SCHURZ HS,SAT,429,865,437,429,14,48.7,42.2,8.9,0.2,9.1,58.5,33.8,7.7,0,7.7
2016-2017,609729,SCHURZ HS,Combined,1170, , , ,18.1, , , , , , , , , , 
2016-2017,609730,SENN HS,PSAT 9,350,875,436,439,55.1, , , , , , , , , , 
2016-2017,609730,SENN HS,PSAT 10,315,872,432,440,37.1, , , , , , , , , , 
2016-2017,609730,SENN HS,SAT,319,964,489,474,38.9,27.3,42.3,24.1,6.3,30.4,37.6,37.3,25.1,0,25.1
2016-2017,609730,SENN HS,Combined,984, , , ,44.1, , , , , , , , , , 
2016-2017,609732,STEINMETZ HS,PSAT 9,310,770,380,390,19.7, , , , , , , , , , 
2016-2017,609732,STEINMETZ HS,PSAT 10,256,806,400,405,19.1, , , , , , , , , , 
2016-2017,609732,STEINMETZ HS,SAT,334,881,446,436,20.4,45.8,38.9,13.2,2.1,15.3,60.5,28.1,11.1,0.3,11.4
2016-2017,609732,STEINMETZ HS,Combined,900, , , ,19.8, , , , , , , , , , 
2016-2017,609733,SULLIVAN HS,PSAT 9,134,757,366,391,17.9, , , , , , , , , , 
2016-2017,609733,SULLIVAN HS,PSAT 10,138,807,396,411,18.1, , , , , , , , , , 
2016-2017,609733,SULLIVAN HS,SAT,109,817,404,413,10.1,67.9,28.4,2.8,0.9,3.7,66.1,28.4,5.5,0,5.5
2016-2017,609733,SULLIVAN HS,Combined,381, , , ,15.7, , , , , , , , , , 
2016-2017,609734,TAFT HS,PSAT 9,762,886,445,442,58.7, , , , , , , , , , 
2016-2017,609734,TAFT HS,PSAT 10,660,913,460,453,52.4, , , , , , , , , , 
2016-2017,609734,TAFT HS,SAT,663,983,500,483,44.8,21,44.5,30,4.5,34.5,33.9,37.7,27,1.4,28.4
2016-2017,609734,TAFT HS,Combined,2085, , , ,52.3, , , , , , , , , , 
2016-2017,609735,TILDEN HS,PSAT 9,56,753,360,392,21.4, , , , , , , , , , 
2016-2017,609735,TILDEN HS,PSAT 10,57,775,374,399,10.5, , , , , , , , , , 
2016-2017,609735,TILDEN HS,SAT,66,817,405,412,4.5,74.2,24.2,1.5,0,1.5,74.2,24.2,1.5,0,1.5
2016-2017,609735,TILDEN HS,Combined,179, , , ,11.7, , , , , , , , , , 
2016-2017,609737,VON STEUBEN HS,PSAT 9,509,924,452,472,67.6, , , , , , , , , , 
2016-2017,609737,VON STEUBEN HS,PSAT 10,422,940,466,473,60.2, , , , , , , , , , 
2016-2017,609737,VON STEUBEN HS,SAT,365,1030,520,510,56.2,12.1,47.1,33.4,7.4,40.8,16.7,48.2,32.6,2.5,35.1
2016-2017,609737,VON STEUBEN HS,Combined,1296, , , ,62, , , , , , , , , , 
2016-2017,609738,LINCOLN PARK HS,PSAT 9,510,956,474,481,77.1, , , , , , , , , , 
2016-2017,609738,LINCOLN PARK HS,PSAT 10,401,1004,507,498,76.1, , , , , , , , , , 
2016-2017,609738,LINCOLN PARK HS,SAT,554,1104,555,549,73.6,5.6,33,45.1,16.2,61.4,11,32.9,47.1,9,56.1
2016-2017,609738,LINCOLN PARK HS,Combined,1465, , , ,75.5, , , , , , , , , , 
2016-2017,609739,WASHINGTON HS,PSAT 9,342,794,397,397,27.2, , , , , , , , , , 
2016-2017,609739,WASHINGTON HS,PSAT 10,346,858,429,429,34.1, , , , , , , , , , 
2016-2017,609739,WASHINGTON HS,SAT,301,905,465,440,20.9,32.9,50.5,15.6,1,16.6,51.2,42.2,6.6,0,6.6
2016-2017,609739,WASHINGTON HS,Combined,989, , , ,27.7, , , , , , , , , , 
2016-2017,609740,WELLS HS,PSAT 9,89,732,362,371,10.1, , , , , , , , , , 
2016-2017,609740,WELLS HS,PSAT 10,43,790,391,400,18.6, , , , , , , , , , 
2016-2017,609740,WELLS HS,SAT,101,815,410,406,5,64.4,32.7,3,0,3,72.3,25.7,2,0,2
2016-2017,609740,WELLS HS,Combined,233, , , ,9.4, , , , , , , , , , 
2016-2017,609741,HUBBARD HS,PSAT 9,406,799,395,404,31.5, , , , , , , , , , 
2016-2017,609741,HUBBARD HS,PSAT 10,463,838,417,421,23.8, , , , , , , , , , 
2016-2017,609741,HUBBARD HS,SAT,436,906,459,447,25.2,37.6,45.6,14.7,2.1,16.7,48.4,37.8,13.3,0.5,13.8
2016-2017,609741,HUBBARD HS,Combined,1305, , , ,26.7, , , , , , , , , , 
2016-2017,609746,KENWOOD HS,PSAT 9,389,920,459,461,70.4, , , , , , , , , , 
2016-2017,609746,KENWOOD HS,PSAT 10,356,981,507,474,71.3, , , , , , , , , , 
2016-2017,609746,KENWOOD HS,SAT,334,1039,530,509,60.2,9.9,45.2,34.7,10.2,44.9,22.5,39.8,35,2.7,37.7
2016-2017,609746,KENWOOD HS,Combined,1079, , , ,67.6, , , , , , , , , , 
2016-2017,609749,NORTHSIDE PREP HS,PSAT 9,277,1175,589,586,99.6, , , , , , , , , , 
2016-2017,609749,NORTHSIDE PREP HS,PSAT 10,276,1238,622,616,98.6, , , , , , , , , , 
