School Year,School ID,School Name,Test,# Students,Average Composite Score,Average EBRW Score,Average Math Score,% Meeting College Readiness Benchmark,% Partially Met State EBRW Standards,% Approached State EBRW Standards,% Met State EBRW Standards,% Exceeded State EBRW Standards,% Met or Exceeded State EBRW Standards,% Partially Met State Math Standards,% Approached State Math Standards,% Met State Math Standards,% Exceeded State Math Standards,% Met or Exceeded State Math Standards
2016-2017,400052,NOBLE - COMER,PSAT 10,190,840,417,423,26.8, , , , , , , , , , 
2016-2017,400052,NOBLE - COMER,SAT,136,971,492,479,39.7,20.6,56.6,17.6,5.1,22.8,32.4,44.9,22.1,0.7,22.8
2016-2017,400052,NOBLE - COMER,Combined,589, , , ,26.7, , , , , , , , , , 
2016-2017,400053,NOBLE - GOLDER HS,PSAT 9,171,858,416,441,50.3, , , , , , , , , , 
2016-2017,400053,NOBLE - GOLDER HS,PSAT 10,162,925,465,459,59.9, , , , , , , , , , 
2016-2017,400053,NOBLE - GOLDER HS,SAT,147,997,502,495,46.3,16.3,52.4,28.6,2.7,31.3,21.8,47.6,28.6,2,30.6
2016-2017,400053,NOBLE - GOLDER HS,Combined,480, , , ,52.3, , , , , , , , , , 
2016-2017,400054,NOBLE - PRITZKER HS,PSAT 9,322,884,425,459,57.5, , , , , , , , , , 
2016-2017,400054,NOBLE - PRITZKER HS,PSAT 10,222,950,471,480,62.6, , , , , , , , , , 
2016-2017,400054,NOBLE - PRITZKER HS,SAT,216,1030,519,511,59.3,13,47.2,31.5,8.3,39.8,16.7,47.2,33.3,2.8,36.1
2016-2017,400054,NOBLE - PRITZKER HS,Combined,760, , , ,59.5, , , , , , , , , , 
2016-2017,400055,NOBLE - RAUNER HS,PSAT 9,168,845,406,438,41.7, , , , , , , , , , 
2016-2017,400055,NOBLE - RAUNER HS,PSAT 10,170,919,455,463,52.9, , , , , , , , , , 
2016-2017,400055,NOBLE - RAUNER HS,SAT,118,997,504,494,49.2,15.3,54.2,23.7,6.8,30.5,26.3,42.4,30.5,0.8,31.4
2016-2017,400055,NOBLE - RAUNER HS,Combined,456, , , ,47.8, , , , , , , , , , 
2016-2017,400056,NOBLE - ROWE CLARK HS,PSAT 9,137,760,365,394,16.1, , , , , , , , , , 
2016-2017,400056,NOBLE - ROWE CLARK HS,PSAT 10,94,869,439,431,34, , , , , , , , , , 
