Network,School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
Network 3,609975,John Hay Elementary Community Academy, 425 ,25,44,42,43,36,50,46,32,33,31,43,,,,
Network 3,610043,Joseph Lovett Elementary School, 404 ,19,30,38,31,45,44,43,37,45,33,39,,,,
Network 3,610041,Josephine C Locke Elementary School," 1,359 ",52,88,141,141,142,136,125,144,133,132,125,,,,
Network 3,609910,Laughlin Falconer Elementary School," 1,207 ",20,85,129,133,164,162,170,179,165,,,,,,
Network 3,609818,Luther Burbank Elementary School, 934 ,16,44,76,94,102,104,109,95,99,103,92,,,,
Network 3,610539,Marvin Camras Elementary School, 972 ,39,82,72,89,102,107,102,105,111,85,78,,,,
Network 3,610046,Mary Lyon Elementary School," 1,504 ",,,134,158,159,175,164,199,188,161,166,,,,
Network 3,610244,Michele Clark Academic Prep Magnet High School, 548 ,,,,,,,,,,,,176,148,120,104
Network 3,609830,Milton Brunson Math & Science Specialty ES, 539 ,17,45,36,61,52,64,65,48,52,53,46,,,,
Network 3,610051,Northwest Middle School, 492 ,,,,,,,,,151,180,161,,,,
Network 3,610367,Oscar DePriest Elementary School, 614 ,20,40,48,75,57,84,64,57,45,60,64,,,,
Network 3,610183,Spencer Technology Academy, 696 ,28,34,61,80,85,95,69,62,57,55,70,,,,
Network 3,610518,VOISE Academy High School, 304 ,,,,,,,,,,,,57,65,82,100
Network 4,610038,Abraham Lincoln Elementary School, 853 ,,,93,92,89,98,95,81,113,97,95,,,,
Network 4,609720,Albert G Lane Technical High School," 4,195 ",,,,,,,,,,127,125,988,1120,950,885
Network 4,609799,Alexander Graham Bell Elementary School, 961 ,1,5,68,95,111,137,132,108,108,95,101,,,,
Network 4,610039,Carl von Linne Elementary School, 648 ,27,35,76,59,71,69,82,58,57,64,50,,,,
Network 4,609875,Charles R Darwin Elementary School, 523 ,25,35,47,37,61,50,41,59,46,59,63,,,,
Network 4,610402,DeVry University Advantage Academy HS, 196 ,,,,,,,,,,,,,,96,100
Network 4,610541,Federico Garcia Lorca Elementary School, 858 ,32,41,74,79,89,95,90,97,81,91,89,,,,
Network 4,610144,Frank W Reilly Elementary School, 998 ,34,69,99,75,99,99,124,97,107,93,102,,,,
Network 4,609926,Franklin Elementary Fine Arts Center, 365 ,,,58,60,31,30,31,31,31,31,62,,,,
Network 4,609930,Frederick Funston Elementary School, 449 ,24,34,39,42,43,47,56,44,44,26,50,,,,
Network 4,610010,Friedrich L. Jahn Elementary of the Fine Arts, 344 ,26,40,48,26,30,27,38,23,36,23,27,,,,
Network 4,610048,George Manierre Elementary School, 356 ,26,49,38,36,32,29,33,27,32,23,31,,,,
Network 4,609850,Horace Greeley Elementary School, 614 ,17,29,54,55,67,68,59,60,72,60,73,,,,
Network 4,610078,Inter-American Elementary Magnet School, 716 ,,80,95,78,73,74,72,70,67,56,51,,,,
Network 4,609803,James G Blaine Elementary School, 884 ,46,67,107,87,105,95,94,79,85,70,49,,,,
