Network,School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
Charter,400024,CICS - Basil, 749 ,,,83,93,91,95,93,74,81,79,60,,,,
Charter,400025,CICS - Bucktown, 704 ,,,80,87,75,84,77,67,82,80,72,,,,
Charter,400113,CICS - ChicagoQuest North, 288 ,,,,,,,,,,,,105,61,60,62
Charter,400027,CICS - Irving Park, 556 ,,,57,60,60,60,60,48,85,51,75,,,,
Charter,400092,CICS - Lloyd Bond, 341 ,,,40,56,50,47,52,49,47,,,,,,
Charter,400033,CICS - Longwood," 1,361 ",,,,,,146,148,164,130,140,148,126,127,130,102
Charter,400026,CICS - Loomis Primary, 550 ,,,185,184,181,,,,,,,,,,
Charter,400034,CICS - Northtown, 908 ,,,,,,,,,,,,272,231,198,207
Charter,400028,CICS - Prairie, 420 ,,,50,60,58,60,60,31,29,30,42,,,,
Charter,400032,CICS - Ralph Ellison, 441 ,,,,,,,,,,,,134,131,96,80
Charter,400029,CICS - Washington Park, 482 ,,,62,64,60,64,32,56,45,50,49,,,,
Charter,400030,CICS - West Belden, 531 ,,,60,60,60,60,60,61,59,58,53,,,,
Charter,400031,CICS - Wrightwood, 784 ,,,85,93,85,96,94,91,88,76,76,,,,
Charter,400094,EPIC Academy Charter High School, 501 ,,,,,,,,,,,,184,150,85,82
Charter,400039,Erie Elementary Charter School, 421 ,,,50,51,49,47,49,48,42,42,43,,,,
Charter,400171,Foundations College Preparatory Charter School, 212 ,,,,,,,,,46,54,64,48,,,
Charter,400040,Frazier Preparatory Academy Charter School, 428 ,,20,37,38,37,55,55,47,40,46,53,,,,
Charter,400168,Great Lakes Academy Charter School, 251 ,,,67,68,75,41,,,,,,,,,
Charter,400167,Horizon Science Academy Southwest Chicago Charter, 668 ,,,84,84,55,56,56,56,55,54,56,60,52,,
Charter,400104,Instituto Health Sciences Career Academy, 759 ,,,,,,,,,,,,195,189,168,207
Charter,400162,Intrinsic Charter School, 989 ,,,,,,,,,,185,154,190,167,166,127
Charter,400044,KIPP Ascend Charter School, 883 ,,,108,112,113,111,111,107,89,73,59,,,,
Charter,400163,KIPP Chicago Charter School - KIPP Bloom, 324 ,,,,,,,,81,91,86,66,,,,
Charter,400146,KIPP Chicago Charter School - KIPP Create, 305 ,,,,,,,,75,90,77,63,,,,
Charter,400180,KIPP One Academy, 185 ,,,96,,,,,89,,,,,,,
Charter,400045,Kwame Nkrumah Academy Charter School, 213 ,,,13,22,36,21,34,22,28,22,15,,,,
Charter,400047,L.E.A.R.N. - Charles and Dorothy Campbell Campus, 439 ,,,65,82,95,90,50,57,,,,,,,
Charter,400048,L.E.A.R.N. - Excel Campus, 451 ,,,56,86,82,82,73,72,,,,,,,
Charter,400111,L.E.A.R.N. - Hunter Perkins Campus, 497 ,,,30,55,30,59,87,82,77,40,37,,,,
Charter,400165,L.E.A.R.N. - Middle School Campus, 291 ,,,,,,,,,148,78,65,,,,
Charter,400046,L.E.A.R.N. - Romano Butler Campus, 656 ,14,28,77,83,83,68,82,57,45,88,31,,,,
Charter,400107,L.E.A.R.N. - South Chicago Campus, 493 ,,,55,67,66,78,73,59,38,34,23,,,,
Charter,400151,L.E.A.R.N. Charter School - 7th Campus, 360 ,,,43,55,54,84,58,66,,,,,,,
Charter,400049,Legacy Charter School, 470 ,,,52,52,52,52,53,53,51,52,53,,,,
Charter,400119,Legal Prep Charter Academy, 306 ,,,,,,,,,,,1,135,72,60,38
Charter,400178,Moving Everest Charter School, 273 ,,,92,94,87,,,,,,,,,,
Charter,400050,Namaste Charter School, 485 ,,,60,55,57,59,55,55,54,50,40,,,,
Charter,400157,Noble - Baker College Prep, 391 ,,,,,,,,,,,,113,121,98,59
Charter,400156,Noble - Butler College Prep, 615 ,,,,,,,,,,,,236,175,127,77
Charter,400097,Noble - Chicago Bulls College Prep," 1,146 ",,,,,,,,,,,,367,287,255,237
Charter,400118,Noble - DRW College Prep, 545 ,,,,,,,,,,,,158,184,86,117
Charter,400052,Noble - Gary Comer College Prep," 1,139 ",,,,,,,,,95,116,115,284,214,174,141
Charter,400053,Noble - Golder College Prep, 654 ,,,,,,,,,,,,176,173,160,145
Charter,400117,Noble - Hansberry College Prep, 709 ,,,,,,,,,,,,201,193,167,148
Charter,400169,Noble - ITW David Speer Academy, 818 ,,,,,,,,,,,,184,402,232,
Charter,400106,Noble - John and Eunice Johnson College Prep, 864 ,,,,,,,,,,,,274,257,175,158
Charter,400098,Noble - Muchin College Prep, 946 ,,,,,,,,,,,,281,239,225,201
Charter,400051,Noble - Noble College Prep, 636 ,,,,,,,,,,,,187,167,139,143
Charter,400054,Noble - Pritzker College Prep," 1,008 ",,,,,,,,,,,,346,230,222,210
Charter,400055,Noble - Rauner College Prep, 649 ,,,,,,,,,,,,204,181,132,132
Charter,400056,Noble - Rowe-Clark Math and Science Academy, 558 ,,,,,,,,,,,,180,119,133,126
Charter,400170,Noble - The Noble Academy, 346 ,,,,,,,,,,,,136,84,126,
Charter,400057,Noble - UIC College Prep, 909 ,,,,,,,,,,,,275,227,221,186
Charter,400179,Noble Mansueto High School, 183 ,,,,,,,,,,,,183,,,
Charter,400058,North Lawndale College Prep - Christiana, 379 ,,,,,,,,,,,,100,103,90,86
Charter,400059,North Lawndale College Prep - Collins, 404 ,,,,,,,,,,,,116,121,85,82
Charter,400062,Perspectives - High School of Technology, 381 ,,,,,,,,,,,,86,100,98,97
Charter,400061,Perspectives - Leadership Academy, 481 ,,,,,,,,,24,45,64,65,100,98,85
Charter,400066,Perspectives - Math and Science Academy, 469 ,,,,,,,,,,26,59,95,117,78,94
Charter,400064,Perspectives - Rodney D. Joslin, 394 ,,,,,,,,,35,54,63,64,62,62,54
Charter,400069,Polaris Charter Academy, 445 ,,,43,54,46,52,52,43,51,56,48,,,,
Charter,400071,Providence Englewood Charter School, 502 ,,,60,76,72,68,53,52,45,38,37,1,,,
Charter,400096,Rowe Elementary Charter School, 946 ,,,122,119,111,117,114,114,115,107,27,,,,
Charter,400116,The Montessori School of Englewood Charter, 293 ,24,36,39,34,37,37,39,30,17,,,,,,
Charter,400078,University of Chicago - Carter G. Woodson, 297 ,,,,,,,,,84,113,100,,,,
Charter,400075,University of Chicago - Donoghue, 546 ,,40,87,89,89,90,83,68,,,,,,,
Charter,400076,University of Chicago - North Kenwood/Oakland, 363 ,,20,52,58,60,60,61,52,,,,,,,
Charter,400077,University of Chicago - Woodlawn, 622 ,,,,,,,,,79,76,65,115,126,84,77
Charter,400112,UNO 51st and Homan Charter Elementary School, 576 ,,,64,64,64,64,64,64,64,64,64,,,,
Charter,400120,UNO Charter - Near West Elementary, 569 ,,,63,64,63,64,64,64,64,64,59,,,,
Charter,400081,UNO Charter School - Bartolomé de las Casas, 285 ,,,32,32,30,32,32,31,32,32,32,,,,
Charter,400153,UNO Charter School - Brighton Park, 573 ,,,66,62,63,64,64,64,64,62,64,,,,
Charter,400082,UNO Charter School - Carlos Fuentes, 558 ,,,54,64,62,64,64,63,60,63,64,,,,
Charter,400114,UNO Charter School - Esmeralda Santiago, 280 ,,,29,32,30,32,32,31,32,32,30,,,,
Charter,400085,UNO Charter School - Major Hector P. Garcia MD, 624 ,,,,,,,,,,,,157,175,161,131
Charter,400083,UNO Charter School - Octavio Paz Campus, 384 ,,,28,48,61,54,32,32,57,46,26,,,,
Charter,400089,UNO Charter School - Officer Donald J. Marquez, 575 ,,,64,64,64,64,64,64,64,63,64,,,,
Charter,400080,UNO Charter School - PFC Omar E. Torres, 614 ,,,71,64,64,64,63,64,64,64,96,,,,
Charter,400121,UNO Charter School - Rogers Park, 736 ,,,57,65,62,68,58,62,58,58,55,27,53,69,44
Charter,400084,UNO Charter School - Rufino Tamayo, 288 ,,,32,32,32,32,32,32,32,32,32,,,,
Charter,400101,UNO Charter School - Sandra Cisneros, 545 ,,,39,63,64,64,64,63,63,61,64,,,,
Charter,400149,UNO Charter School - Soccer Academy High School, 630 ,,,,,,,,,,,,170,188,137,135
Charter,400079,UNO Charter School - SPC Daniel Zizumbo, 624 ,,,83,64,63,63,64,64,64,64,95,,,,
Charter,400105,Urban Prep Academy for Young Men - Bronzeville, 365 ,,,,,,,,,,,,98,81,98,88
Charter,400086,Urban Prep Academy for Young Men - Englewood, 325 ,,,,,,,,,,,,82,83,82,78
Charter,400102,Urban Prep Charter Academy for Young Men - West, 271 ,,,,,,,,,,,,53,77,70,71
Charter,400087,Young Women's Leadership Charter School, 248 ,,,,,,,,,,,,61,90,43,54
Contract,400022,Chicago High School for the Arts, 603 ,,,,,,,,,,,,156,150,157,140
Contract,400091,Chicago Technology Academy High School, 272 ,,,,,,,,,,,,58,57,70,87
Contract,400043,Hope Institute Learning Academy, 365 ,,,68,61,52,67,70,47,,,,,,,
Contract,400068,Plato Learning Academy, 448 ,,,36,41,52,51,82,47,48,44,47,,,,
Options,610555,Banner Academy West, 241 ,,,,,,,,,,,,42,101,51,47
Options,610572,Camelot Safe Elementary, 12 ,,,,,,,,,2,3,7,,,,
Options,610584,Camelot Safe Garfield Elementary, 6 ,,,,,,,,,,1,5,,,,
Options,610585,Camelot Safe Garfield HS, 17 ,,,,,,,,,,,,9,6,1,1
Options,610573,Camelot Safe HS, 12 ,,,,,,,,,,,,2,5,5,
Options,400147,Chicago Excel Academy, 252 ,,,,,,,,,,,,25,93,83,51
Options,610565,Excel - Englewood HS, 215 ,,,,,,,,,,,,28,62,75,50
Options,400176,Excel - Southwest HS, 190 ,,,,,,,,,,,,18,64,62,46
Options,400175,Excel - Woodlawn HS, 219 ,,,,,,,,,,,,22,66,82,49
Options,400148,Instituto - Justice Lozano, 97 ,,,,,,,,,,,,21,41,35,
Options,400164,Instituto - Justice Lozano Mastery, 34 ,,,,,,,,,,,,,,7,27
Options,400137,Little Black Pearl Art and Design Academy, 134 ,,,,,,,,,,,,16,33,52,33
Options,610581,Magic Johnson- Brainerd HS, 119 ,,,,,,,,,,,,18,44,43,14
Options,610582,Magic Johnson- Englewood HS, 118 ,,,,,,,,,,,,10,32,60,16
Options,610580,Magic Johnson- Humboldt Park HS, 202 ,,,,,,,,,,,,8,57,111,26
Options,610566,Magic Johnson- North Lawndale HS, 178 ,,,,,,,,,,,,25,53,91,9
Options,610567,Magic Johnson- Roseland HS, 202 ,,,,,,,,,,,,22,63,111,6
Options,610569,Ombudsman Chicago- Northwest, 257 ,,,,,,,,,,,,32,103,64,58
Options,610570,Ombudsman Chicago- South, 461 ,,,,,,,,,,,,43,130,138,150
Options,610571,Ombudsman Chicago- West, 365 ,,,,,,,,,,,,54,133,95,83
Options,610557,Pathways in Education- Ashburn, 199 ,,,,,,,,,,,,25,55,47,72
Options,610568,Pathways in Education- Avondale, 250 ,,,,,,,,,,,,29,69,70,82
Options,400173,Pathways in Education- Brighton Park, 353 ,,,,,,,,,,,,39,83,108,123
Options,400123,YCCS- Academy of Scholastic Achievement HS, 193 ,,,,,,,,,,,,,80,66,47
Options,400133,YCCS- Innovations HS of Arts Integration, 450 ,,,,,,,,,,,,,223,158,69
Options,400124,YCCS-Ada S. McKinley-Lakeside HS, 214 ,,,,,,,,,,,,,99,102,13
Options,400125,"YCCS-ASPIRA,Antonia Pantoja Alternative HS", 200 ,,,,,,,,,,,,,95,57,48
Options,400126,"YCCS-Association House, El Cuarto Ano HS", 170 ,,,,,,,,,,,,,131,35,4
Options,400127,YCCS-Austin Career Education Center HS, 148 ,,,,,,,,,,,,,31,41,76
Options,400128,YCCS-CCA Academy HS, 221 ,,,,,,,,,,,,,120,75,26
Options,400129,YCCS-Charles Hamilton Houston Alternative HS, 186 ,,,,,,,,,,,,,92,41,53
Options,400150,YCCS-Chatham AcademyHS, 192 ,,,,,,,,,,,,,112,57,23
Options,400130,YCCS-Community Youth Development Institute HS, 187 ,,,,,,,,,,,,,82,61,44
Options,400131,YCCS-Dr. Pedro Albizu Campos Puerto Rican HS, 200 ,,,,,,,,,,,,,58,60,82
Options,400134,YCCS-Jane Addams Alternative HS, 211 ,,,,,,,,,,,,,87,87,37
Options,400135,YCCS-Latino Youth Alternative HS, 221 ,,,,,,,,,,,,,105,94,22
Options,400136,YCCS-Olive Harvey Middle College HS, 127 ,,,,,,,,,,,,,40,77,10
Options,400139,YCCS-Sullivan House Alternative HS, 340 ,,,,,,,,,,,,,278,48,14
Options,400141,YCCS-Truman Middle College HS, 207 ,,,,,,,,,,,,,70,84,53
Options,400143,YCCS-West Town Acad Alternative HS, 161 ,,,,,,,,,,,,,59,102,
Options,400144,YCCS-Westside Holistic Leadership Acad HS, 132 ,,,,,,,,,,,,,76,37,19
Options,400145,YCCS-Youth Connection Leadership Acad HS, 260 ,,,,,,,,,,,,,123,85,52
