School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
610308,Wilma Rudolph Elementary Learning Center,78,7,8,7,9,9,13,5,19,1,0,0,0,0,0,0
609966,Charles G Hammond Elementary School,384,13,28,31,36,43,31,35,39,50,41,37,0,0,0,0
610063,Cyrus H McCormick Elementary School,610,9,54,58,81,117,93,96,102,0,0,0,0,0,0,0
610227,Eli Whitney Elementary School,899,0,52,58,81,69,112,79,122,111,119,96,0,0,0,0
610215,Francisco I Madero Middle School,321,0,0,0,0,0,0,0,0,120,108,93,0,0,0,0
609920,Gerald Delgado Kanoon Elementary Magnet School,544,2,18,33,47,54,68,70,63,61,60,68,0,0,0,0
610125,Irma C Ruiz Elementary School,666,15,35,52,52,73,57,73,71,76,95,67,0,0,0,0
610216,John A Walsh Elementary School,300,12,23,25,28,29,27,33,31,33,29,30,0,0,0,0
610228,John Greenleaf Whittier Elementary School,204,5,12,15,15,13,23,22,18,24,29,28,0,0,0,0
610184,John Spry Elementary Community School,510,14,22,42,45,63,38,57,49,63,57,60,0,0,0,0
609950,Josefa Ortiz De Dominguez Elementary School,519,35,57,140,131,156,0,0,0,0,0,0,0,0,0,0
609938,Joseph E Gary Elementary School,1111,22,41,0,0,0,143,165,181,203,163,193,0,0,0,0
609872,Manuel Perez Elementary School,316,10,29,41,25,27,29,35,30,30,22,38,0,0,0,0
610017,Maria Saucedo Elementary Scholastic Academy,940,24,42,77,94,93,95,92,107,113,102,101,0,0,0,0
610329,Orozco Fine Arts & Sciences Elementary School,542,15,17,23,30,29,32,29,31,116,110,110,0,0,0,0
609867,Peter Cooper Elementary Dual Language Academy,418,10,32,55,68,63,64,53,73,0,0,0,0,0,0,0
610013,Pilsen Elementary Community Academy,307,2,15,33,27,33,31,29,29,36,40,32,0,0,0,0
609921,Telpochcalli Elementary School,275,2,18,27,21,33,25,33,34,24,34,24,0,0,0,0
609967,William F Finkl Elementary School,318,9,25,29,38,28,39,39,28,25,36,22,0,0,0,0
609993,Agustin Lara Elementary Academy,410,5,35,40,37,35,45,40,50,46,35,42,0,0,0,0
610317,Brighton Park Elementary School,399,2,18,32,31,43,43,44,53,44,45,44,0,0,0,0
610353,Calmeca Academy of Fine Arts and Dual Language,777,15,38,74,74,74,87,75,95,83,75,87,0,0,0,0
610170,Columbia Explorers Elementary Academy,985,16,62,81,64,93,104,95,128,111,119,112,0,0,0,0
609909,Edward Everett Elementary School,153,5,19,30,26,14,18,18,23,0,0,0,0,0,0,0
610319,Evergreen Academy Middle School,307,0,0,0,0,0,0,0,0,101,99,107,0,0,0,0
610096,Florence Nightingale Elementary School,1243,35,86,111,114,111,127,126,147,131,134,121,0,0,0,0
610532,Irene C. Hernandez Middle School for the Advancement of Science,1005,0,0,0,0,0,0,0,0,363,311,331,0,0,0,0
609983,James Hedges Elementary School,610,23,46,39,58,60,59,71,67,67,60,60,0,0,0,0
610174,James Shields Elementary School,689,23,69,91,92,116,141,157,0,0,0,0,0,0,0,0
610559,James Shields Middle School,592,0,0,0,0,0,0,0,169,133,127,163,0,0,0,0
609964,John H Hamline Elementary School,547,26,26,44,65,59,55,48,61,54,61,48,0,0,0,0
609876,Nathan S Davis Elementary School,733,41,64,68,71,57,64,82,73,80,69,64,0,0,0,0
609952,Nathanael Greene Elementary School,414,10,22,53,53,51,72,65,88,0,0,0,0,0,0,0
610239,Richard J Daley Elementary Academy,563,1,16,58,37,63,60,53,68,76,68,63,0,0,0,0
610157,Sidney Sawyer Elementary School,1457,0,0,110,127,126,145,185,186,197,177,204,0,0,0,0
610226,Socorro Sandoval Elementary School,891,1,51,105,127,115,152,166,174,0,0,0,0,0,0,0
610589,Sor Juana Ines de la Cruz ES,92,0,0,32,29,31,0,0,0,0,0,0,0,0,0,0
609855,Walter S Christopher Elementary School,375,0,0,20,25,47,43,43,48,55,45,49,0,0,0,0
610167,William H Seward Communication Arts Academy ES,616,4,31,38,64,61,70,63,76,77,75,57,0,0,0,0
610175,Beulah Shoesmith Elementary School,355,0,0,29,61,50,57,59,45,54,0,0,0,0,0,0
609969,Bret Harte Elementary School,329,11,35,23,29,26,29,32,32,37,47,28,0,0,0,0
610590,Bronzeville Classical Elementary School,89,0,0,28,25,36,0,0,0,0,0,0,0,0,0,0
610345,Carter G Woodson South Elementary School,334,0,19,22,28,29,47,29,37,48,38,37,0,0,0,0
610030,Charles Kozminski Elementary Community Academy,258,23,27,16,29,24,21,13,22,29,23,31,0,0,0,0
609819,Edmond Burke Elementary School,414,20,54,33,37,35,45,39,39,53,33,26,0,0,0,0
610246,Edward Beasley Elementary Magnet Academic Center,1044,46,76,72,99,105,115,108,125,122,91,85,0,0,0,0
610065,Emmett Louis Till Math and Science Academy,330,8,30,31,21,38,36,26,43,38,30,29,0,0,0,0
610110,Ida B Wells Preparatory Elementary Academy,364,7,47,32,34,37,37,30,30,42,33,35,0,0,0,0
610276,Irvin C Mollison Elementary School,281,3,15,14,24,32,32,36,27,29,41,28,0,0,0,0
610256,Jackie Robinson Elementary School,137,6,33,30,26,24,18,0,0,0,0,0,0,0,0,0
609891,James R Doolittle Jr Elementary School,263,16,21,28,25,25,35,25,25,20,18,25,0,0,0,0
609894,John B Drake Elementary School,333,12,25,36,27,39,38,34,23,45,25,29,0,0,0,0
609919,John Fiske Elementary School,433,28,48,36,42,34,50,39,44,41,30,41,0,0,0,0
610126,John J Pershing Elementary Humanities Magnet,575,20,30,50,40,65,75,66,57,66,55,51,0,0,0,0
610237,Ludwig Van Beethoven Elementary School,322,19,33,21,35,23,36,24,33,40,24,34,0,0,0,0
610090,Phillip Murray Elementary Language Academy,495,0,0,53,57,54,53,56,57,61,59,45,0,0,0,0
609987,Thomas A Hendricks Elementary Community Academy,238,15,22,23,20,24,20,22,27,22,20,23,0,0,0,0
610143,William C Reavis Math & Science Specialty ES,257,16,35,23,26,22,20,21,27,18,26,23,0,0,0,0
610142,William H Ray Elementary School,712,7,65,65,70,76,70,73,71,76,73,66,0,0,0,0
609977,Woodlawn Community Elementary School,207,5,29,25,25,25,26,26,21,25,0,0,0,0,0,0
610185,Adlai E Stevenson Elementary School,1210,17,58,92,104,110,135,142,122,148,146,136,0,0,0,0
609788,Alice L Barnard Computer Math & Science Ctr ES,264,2,18,24,26,30,33,26,31,23,30,21,0,0,0,0
610084,Annie Keller Regional Gifted Center,225,0,0,0,22,27,29,29,29,29,30,30,0,0,0,0
610287,Ashburn Community Elementary School,452,0,19,26,34,63,56,38,59,65,47,45,0,0,0,0
609871,Barbara Vick Early Childhood & Family Center,339,151,188,0,0,0,0,0,0,0,0,0,0,0,0,0
610087,Blair Early Childhood Center,231,73,91,39,28,0,0,0,0,0,0,0,0,0,0,0
609839,Carroll-Rosenwald Specialty Elementary School,489,11,30,40,48,40,52,54,51,48,57,58,0,0,0,0
609879,Charles Gates Dawes Elementary School,964,23,45,82,81,103,108,116,107,121,104,74,0,0,0,0
610347,Claremont Academy Elementary School,458,3,17,37,57,47,59,56,48,61,38,35,0,0,0,0
610077,Donald Morrill Math & Science Elementary School,599,5,35,57,55,47,73,58,79,73,62,55,0,0,0,0
610352,Durkin Park Elementary School,676,3,35,57,65,70,73,78,77,85,74,59,0,0,0,0
610006,Edward N Hurley Elementary School,852,9,42,75,69,87,73,99,99,98,106,95,0,0,0,0
610195,Elizabeth H Sutherland Elementary School,604,0,0,70,63,58,66,70,73,82,63,59,0,0,0,0
609908,Esmond Elementary School,256,11,9,23,13,26,30,27,24,27,33,33,0,0,0,0
610057,Fairfield Elementary Academy,562,0,20,50,60,53,60,66,63,67,60,63,0,0,0,0
610067,Francis M McKay Elementary School,775,27,56,65,78,71,96,74,83,93,78,54,0,0,0,0
609861,Henry R Clissold Elementary School,511,0,17,31,54,49,61,64,58,63,57,57,0,0,0,0
609893,John C Dore Elementary School,701,2,17,69,65,75,82,68,80,84,75,84,0,0,0,0
610207,John H Vanderpoel Elementary Magnet School,255,0,0,23,31,26,26,33,29,28,25,34,0,0,0,0
610016,Kate S Kellogg Elementary School,269,0,0,28,30,30,28,36,31,32,27,27,0,0,0,0
609807,Lionel Hampton Fine & Performing Arts ES,521,0,0,48,48,55,57,66,64,49,56,78,0,0,0,0
610206,Mark Twain Elementary School,1086,5,34,85,92,109,118,135,136,129,121,122,0,0,0,0
609832,Michael M Byrne Elementary School,687,0,0,73,65,49,84,81,68,82,85,100,0,0,0,0
609960,Nathan Hale Elementary School,900,0,0,73,85,99,97,112,112,106,113,103,0,0,0,0
609981,Phoebe Apperson Hearst Elementary School,356,28,24,34,32,36,32,37,29,34,40,30,0,0,0,0
610588,Robert J. Richardson Middle School,1127,0,0,0,0,0,0,0,265,319,272,271,0,0,0,0
609956,Robert L Grimes Elementary School,442,0,20,50,42,37,41,54,52,57,43,46,0,0,0,0
610109,William Bishop Owen Scholastic Academy ES,259,0,0,25,29,29,29,29,30,30,31,27,0,0,0,0
609869,Anna R. Langford Community Academy,238,12,21,20,23,22,33,28,22,22,20,15,0,0,0,0
610037,Arthur A Libby Elementary School,344,0,0,26,35,46,40,36,40,35,42,44,0,0,0,0
609941,Asa Philip Randolph Elementary School,498,14,33,42,49,51,63,41,60,50,43,52,0,0,0,0
610290,Benjamin E Mays Elementary Academy,400,11,24,36,45,44,56,35,41,42,27,39,0,0,0,0
610238,Carrie Jacobs Bond Elementary School,268,14,22,31,19,26,29,24,25,26,27,25,0,0,0,0
609986,Charles R Henderson Elementary School,280,15,22,21,23,31,31,28,21,34,26,28,0,0,0,0
609897,Charles W Earle Elementary School,352,25,28,42,24,41,42,36,27,32,30,25,0,0,0,0
609790,Clara Barton Elementary School,386,7,29,33,26,24,59,36,38,46,41,47,0,0,0,0
610223,Daniel S Wentworth Elementary School,433,18,34,37,38,45,46,48,48,38,40,41,0,0,0,0
610299,Dr. Martin L. King Jr Academy of Social Justice,229,10,20,28,20,22,24,18,22,23,20,22,0,0,0,0
609924,Fort Dearborn Elementary School,358,24,19,29,27,35,44,32,37,45,41,25,0,0,0,0
609927,Foster Park Elementary School,356,17,36,39,35,41,26,38,36,39,31,18,0,0,0,0
610112,Francis W Parker Elementary Community Academy,504,43,54,46,52,49,54,51,46,41,36,32,0,0,0,0
609864,John W Cook Elementary School,351,0,28,31,29,35,44,39,42,49,22,32,0,0,0,0
610019,Joshua D Kershaw Elementary School,272,14,25,28,32,28,28,26,23,22,21,25,0,0,0,0
609793,Lillian R. Nicholson STEM Academy,461,6,25,44,47,47,70,52,44,53,40,33,0,0,0,0
610108,Luke O'Toole Elementary School,343,12,28,33,35,23,45,31,30,46,31,29,0,0,0,0
610369,Mahalia Jackson Elementary School,383,20,21,28,37,37,54,49,46,35,27,29,0,0,0,0
610362,Medgar Evers Elementary School,282,7,27,30,21,15,28,29,25,36,33,31,0,0,0,0
610300,Oliver S Westcott Elementary School,400,14,33,48,53,45,45,46,32,39,20,25,0,0,0,0
609997,Oliver Wendell Holmes Elementary School,137,11,22,12,10,11,16,10,10,15,9,11,0,0,0,0
610003,Paul Cuffe Math-Science Technology Academy ES,304,8,32,22,23,30,20,27,35,38,37,32,0,0,0,0
609791,Perkins Bass Elementary School,461,14,30,39,51,46,63,50,42,52,40,34,0,0,0,0
610102,Richard J Oglesby Elementary School,483,13,21,42,57,48,59,59,46,56,39,43,0,0,0,0
609929,Robert Fulton Elementary School,371,23,24,33,24,39,47,41,34,39,38,29,0,0,0,0
609805,Scott Joplin Elementary School,431,4,30,35,49,38,54,44,44,41,41,51,0,0,0,0
610521,Sir Miles Davis Magnet Elementary Academy,238,0,0,24,17,25,32,27,35,26,22,30,0,0,0,0
609895,Turner-Drew Elementary Language Academy,212,0,0,11,22,26,27,25,23,24,27,27,0,0,0,0
610032,Wendell E Green Elementary School,337,4,17,27,37,33,35,50,42,26,35,31,0,0,0,0
610153,William H Ryder Math & Science Specialty ES,403,14,32,42,24,30,30,30,58,44,59,40,0,0,0,0
610281,Adam Clayton Powell Paideia Community Academy ES,529,0,0,52,70,61,57,57,59,58,58,57,0,0,0,0
610316,Amelia Earhart Options for Knowledge ES,222,0,0,22,23,26,15,27,24,27,28,30,0,0,0,0
610171,Arnold Mireles Elementary Academy,450,0,13,41,44,45,39,50,54,44,65,55,0,0,0,0
609887,Arthur Dixon Elementary School,562,0,20,32,52,37,57,55,50,72,95,92,0,0,0,0
610268,Arthur R Ashe Elementary School,312,0,17,39,32,35,36,34,32,28,25,34,0,0,0,0
609827,Burnside Elementary Scholastic Academy,413,3,16,33,44,42,37,48,40,53,44,53,0,0,0,0
609813,Charles S Brownell Elementary School,183,1,18,24,23,26,23,26,19,23,0,0,0,0,0,0
609815,Edward A Bouchet Math & Science Academy ES,616,1,36,54,72,71,59,64,74,60,66,59,0,0,0,0
609862,Edward Coles Elementary Language Academy,388,8,20,31,39,34,46,38,49,41,42,40,0,0,0,0
610124,Harold Washington Elementary School,316,1,17,27,35,43,47,28,30,37,24,27,0,0,0,0
610279,Henry O Tanner Elementary School,316,8,24,31,27,20,47,31,24,43,39,22,0,0,0,0
610052,Horace Mann Elementary School,333,1,18,27,42,28,36,49,26,43,35,28,0,0,0,0
610066,James E McDade Elementary Classical School,192,0,0,24,26,27,28,30,30,27,0,0,0,0,0,0
610047,James Madison Elementary School,202,1,16,14,18,20,22,22,25,25,21,18,0,0,0,0
610200,James N Thorp Elementary School,309,10,24,36,22,28,45,27,28,27,24,38,0,0,0,0
