School ID,School Name,Network,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
610524,Louisa May Alcott College Preparatory HS,Network 4,311,0,0,0,0,0,0,0,0,0,0,0,87,89,68,67
610059,Oscar F Mayer Elementary School,Network 4,760,64,62,88,85,80,62,78,62,58,48,73,0,0,0,0
609853,Salmon P Chase Elementary School,Network 4,416,19,43,36,35,35,38,35,41,44,43,47,0,0,0,0
609968,Sharon Christa McAuliffe Elementary School,Network 4,732,19,35,75,70,79,67,64,80,83,75,85,0,0,0,0
610534,Skinner North,Network 4,494,0,0,57,60,58,60,64,62,62,41,30,0,0,0,0
610095,Walter L Newberry Math & Science Academy ES,Network 4,563,8,13,48,51,56,58,61,61,66,56,85,0,0,0,0
610136,William H Prescott Elementary School,Network 4,433,12,15,47,45,55,56,63,58,29,33,20,0,0,0,0
610097,William P Nixon Elementary School,Network 4,833,19,42,93,93,94,110,118,129,135,0,0,0,0,0,0
610088,Wolfgang A Mozart Elementary School,Network 4,640,15,24,40,51,67,65,69,91,77,63,78,0,0,0,0
610334,Al Raby High School,Network 5,378,0,0,0,0,0,0,0,0,0,0,0,81,100,95,102
610131,Ambrose Plamondon Elementary School,Network 5,138,0,0,11,16,21,14,17,20,16,11,12,0,0,0,0
610005,Charles Evans Hughes Elementary School,Network 5,255,14,21,23,28,19,32,27,29,26,17,19,0,0,0,0
610194,Charles Sumner  Math & Science Community Acad ES,Network 5,276,19,16,24,20,23,25,33,29,31,28,28,0,0,0,0
609873,Crown Community Academy of Fine Arts Center ES,Network 5,255,16,22,30,19,17,26,29,27,23,22,24,0,0,0,0
609835,Daniel R Cameron Elementary School,Network 5,773,18,33,62,81,81,79,90,71,100,84,74,0,0,0,0
610221,Daniel Webster Elementary School,Network 5,298,32,35,26,25,23,36,24,24,20,24,29,0,0,0,0
610503,Frazier Prospective IB Magnet ES,Network 5,205,0,0,13,29,32,31,33,14,17,17,19,0,0,0,0
609854,Frederic Chopin Elementary School,Network 5,422,13,23,39,37,44,40,52,44,51,30,49,0,0,0,0
610293,Genevieve Melody Elementary School,Network 5,477,32,46,50,43,40,48,54,41,50,30,43,0,0,0,0
610202,George W Tilton Elementary School,Network 5,302,12,25,22,40,37,37,29,27,21,28,24,0,0,0,0
609693,George Westinghouse College Prep,Network 5,1189,0,0,0,0,0,0,0,0,0,0,0,337,294,270,288
610192,Harriet Beecher Stowe Elementary School,Network 5,674,8,49,61,59,64,84,67,74,67,68,73,0,0,0,0
609985,Helen M Hefferan Elementary School,Network 5,349,29,36,29,35,38,39,32,28,29,26,28,0,0,0,0
609797,Jacob Beidler Elementary School,Network 5,444,33,33,33,33,50,53,40,42,36,42,49,0,0,0,0
610044,James Russell Lowell Elementary School,Network 5,445,20,38,31,43,40,51,46,44,37,59,36,0,0,0,0
610271,Jensen Elementary Scholastic Academy,Network 5,417,15,23,37,39,32,54,42,43,52,35,45,0,0,0,0
609723,John Marshall Metropolitan High School,Network 5,341,0,0,0,0,0,0,0,0,0,0,0,60,95,91,95
609954,John Milton Gregory Elementary School,Network 5,354,21,25,31,30,38,34,26,36,47,32,34,0,0,0,0
610313,Jose De Diego Elementary Community Academy,Network 5,561,32,57,46,58,38,61,53,47,59,48,62,0,0,0,0
609925,Joseph Kellman Corporate Community ES,Network 5,337,17,33,23,29,29,34,45,26,39,28,34,0,0,0,0
610133,Laura S Ward Elementary School,Network 5,465,14,34,50,30,54,64,52,42,50,36,39,0,0,0,0
610034,Lawndale Elementary Community Academy,Network 5,263,21,34,27,22,21,28,28,25,27,17,13,0,0,0,0
609907,Leif Ericson Elementary Scholastic Academy,Network 5,475,33,41,40,47,47,49,52,48,37,43,38,0,0,0,0
